CaseID,B3,ND2,B7_b,GH1,ppeducat,ppethm,weight_pop
140,1,3,2,3,4,1,12641.8712
141,1,2,2,1,4,1,10151.1496
142,0,2,2,1,2,4,32228.2411
143,1,2,3,2,4,2,10965.274
144,0,3,1,2,3,1,16200.3783
145,1,3,1,2,2,1,13758.0583
146,1,3,1,2,2,1,17903.5345
147,1,3,2,4,4,3,22087.8618
149,1,3,3,2,3,2,15954.8828
150,1,3,2,2,2,4,36936.9117
151,0,3,2,1,4,4,20771.9856
152,1,3,3,1,3,1,13704.3897
153,1,1,3,1,4,1,18215.8346
154,1,3,1,3,2,1,16098.9296
155,1,1,2,2,4,1,10965.4948
156,1,3,2,2,2,1,29857.8076
157,1,2,2,2,4,5,4064.5996
158,1,2,2,1,4,4,13164.0939
159,0,3,1,1,3,1,14149.361
160,0,3,1,3,2,1,14981.7128
161,1,3,2,1,4,1,21883.5087
162,0,2,1,2,4,5,3666.6386
163,0,3,1,2,4,1,19917.9717
164,0,3,1,2,4,1,6774.3699
165,1,3,2,2,3,1,13992.7265
166,0,3,2,1,2,1,17215.2353
167,0,3,1,2,3,1,14104.0969
168,1,2,3,2,4,1,20846.6562
169,1,3,2,3,2,1,23443.4148
170,0,2,2,2,3,1,19771.8252
171,1,3,3,1,4,1,16899.5227
173,0,2,2,1,4,3,20185.446
174,1,3,1,2,3,1,12953.5659
175,0,2,2,3,4,1,13289.8954
176,0,3,1,1,2,1,15923.6687
177,1,3,2,2,4,1,11881.0489
178,1,3,3,1,3,1,16361.1544
180,0,3,2,1,2,1,31689.7412
181,1,1,2,1,3,1,16705.3888
182,1,3,1,1,2,1,16098.9296
183,1,3,1,1,3,1,24781.5552
184,1,3,1,2,4,4,11435.6574
185,1,3,1,1,2,1,15051.257
186,1,1,1,3,4,1,21279.8529
187,1,3,2,1,2,1,29627.4629
188,1,1,2,1,4,1,19493.8887
189,0,2,3,1,2,1,16258.6986
190,0,3,1,4,4,1,16853.3823
191,0,1,2,2,3,1,16705.3888
192,0,4,3,2,2,1,20472.3273
193,1,3,2,1,2,2,49160.2132
194,1,4,2,1,3,1,32659.6408
195,1,3,1,4,4,1,14140.9356
196,1,3,2,3,2,1,36661.5283
197,0,3,2,2,4,1,7723.2211
198,1,3,2,1,3,1,21983.5413
199,1,3,3,2,2,1,17215.2353
200,0,3,1,2,4,1,17443.7602
201,0,3,1,1,4,1,14001.9772
